areaCode,areaName,areaType,date,newAdmissions,newCasesBySpecimenDate
E92000001,England,nation,2021-12-20,,20408
E92000001,England,nation,2021-12-19,926,57373
E92000001,England,nation,2021-12-18,735,61398
E92000001,England,nation,2021-12-17,743,72480
E92000001,England,nation,2021-12-16,777,83390
E92000001,England,nation,2021-12-15,805,90164
E92000001,England,nation,2021-12-14,815,82931
E92000001,England,nation,2021-12-13,794,71161
E92000001,England,nation,2021-12-12,772,43756
E92000001,England,nation,2021-12-11,696,39872
E92000001,England,nation,2021-12-10,707,42859
E92000001,England,nation,2021-12-09,799,46599
E92000001,England,nation,2021-12-08,754,47836
E92000001,England,nation,2021-12-07,799,46220
E92000001,England,nation,2021-12-06,736,49333
E92000001,England,nation,2021-12-05,728,33948
E92000001,England,nation,2021-12-04,635,32401
E92000001,England,nation,2021-12-03,624,38155
E92000001,England,nation,2021-12-02,719,41916
E92000001,England,nation,2021-12-01,698,46005
E92000001,England,nation,2021-11-30,699,46447
E92000001,England,nation,2021-11-29,669,46715
E92000001,England,nation,2021-11-28,607,33056
E92000001,England,nation,2021-11-27,609,27809
E92000001,England,nation,2021-11-26,620,32904
E92000001,England,nation,2021-11-25,650,36258
E92000001,England,nation,2021-11-24,752,38923
E92000001,England,nation,2021-11-23,659,40105
E92000001,England,nation,2021-11-22,602,41911
E92000001,England,nation,2021-11-21,648,31045
E92000001,England,nation,2021-11-20,611,29212
E92000001,England,nation,2021-11-19,637,32470
E92000001,England,nation,2021-11-18,697,36231
E92000001,England,nation,2021-11-17,727,37425
E92000001,England,nation,2021-11-16,713,37690
E92000001,England,nation,2021-11-15,695,41530
E92000001,England,nation,2021-11-14,678,28915
E92000001,England,nation,2021-11-13,655,26808
E92000001,England,nation,2021-11-12,729,30574
E92000001,England,nation,2021-11-11,797,32908
E92000001,England,nation,2021-11-10,821,34570
E92000001,England,nation,2021-11-09,808,33892
E92000001,England,nation,2021-11-08,850,35297
E92000001,England,nation,2021-11-07,739,24883
E92000001,England,nation,2021-11-06,688,22067
E92000001,England,nation,2021-11-05,686,23839
E92000001,England,nation,2021-11-04,717,26079
E92000001,England,nation,2021-11-03,807,28431
E92000001,England,nation,2021-11-02,891,30422
E92000001,England,nation,2021-11-01,899,36757
E92000001,England,nation,2021-10-31,860,28901
E92000001,England,nation,2021-10-30,741,27683
E92000001,England,nation,2021-10-29,840,33264
E92000001,England,nation,2021-10-28,888,34355
E92000001,England,nation,2021-10-27,955,35768
E92000001,England,nation,2021-10-26,911,34549
E92000001,England,nation,2021-10-25,865,39131
E92000001,England,nation,2021-10-24,829,29489
E92000001,England,nation,2021-10-23,756,29177
E92000001,England,nation,2021-10-22,760,33805
E92000001,England,nation,2021-10-21,799,37790
E92000001,England,nation,2021-10-20,903,43117
E92000001,England,nation,2021-10-19,894,43699
E92000001,England,nation,2021-10-18,896,48247
E92000001,England,nation,2021-10-17,828,36774
E92000001,England,nation,2021-10-16,743,31038
E92000001,England,nation,2021-10-15,752,35922
E92000001,England,nation,2021-10-14,730,38466
E92000001,England,nation,2021-10-13,752,39759
E92000001,England,nation,2021-10-12,760,40064
E92000001,England,nation,2021-10-11,685,42283
E92000001,England,nation,2021-10-10,606,30923
E92000001,England,nation,2021-10-09,613,26604
E92000001,England,nation,2021-10-08,619,29265
E92000001,England,nation,2021-10-07,634,31565
E92000001,England,nation,2021-10-06,632,31917
E92000001,England,nation,2021-10-05,658,31592
E92000001,England,nation,2021-10-04,627,35789
E92000001,England,nation,2021-10-03,577,26624
E92000001,England,nation,2021-10-02,549,21439
E92000001,England,nation,2021-10-01,520,23666
E92000001,England,nation,2021-09-30,552,26254
E92000001,England,nation,2021-09-29,625,28138
E92000001,England,nation,2021-09-28,596,29003
E92000001,England,nation,2021-09-27,617,33886
E92000001,England,nation,2021-09-26,535,26264
E92000001,England,nation,2021-09-25,520,22941
