areaCode,areaName,areaType,date,newAdmissionsRollingRate,newCasesBySpecimenDateRollingRate,newDeaths28DaysByDeathDateRollingRate
E92000001,England,nation,2021-12-19,9.9,,
E92000001,England,nation,2021-12-18,9.6,,
E92000001,England,nation,2021-12-17,9.6,,
E92000001,England,nation,2021-12-16,9.5,803.1,1.0
E92000001,England,nation,2021-12-15,9.5,738.0,1.1
E92000001,England,nation,2021-12-14,9.4,663.2,1.1
E92000001,England,nation,2021-12-13,9.4,598.2,1.1
E92000001,England,nation,2021-12-12,9.3,559.6,1.1
E92000001,England,nation,2021-12-11,9.2,542.3,1.1
E92000001,England,nation,2021-12-10,9.1,529.1,1.2
E92000001,England,nation,2021-12-09,9.0,520.8,1.2
E92000001,England,nation,2021-12-08,8.8,512.5,1.2
E92000001,England,nation,2021-12-07,8.7,509.2,1.2
E92000001,England,nation,2021-12-06,8.6,509.6,1.2
E92000001,England,nation,2021-12-05,8.4,505.0,1.2
E92000001,England,nation,2021-12-04,8.2,503.4,1.2
E92000001,England,nation,2021-12-03,8.2,495.3,1.2
E92000001,England,nation,2021-12-02,8.2,486.0,1.2
E92000001,England,nation,2021-12-01,8.0,476.0,1.2
E92000001,England,nation,2021-11-30,8.1,463.5,1.2
E92000001,England,nation,2021-11-29,8.1,452.3,1.2
E92000001,England,nation,2021-11-28,8.0,443.8,1.2
E92000001,England,nation,2021-11-27,8.0,440.2,1.2
E92000001,England,nation,2021-11-26,8.0,442.7,1.2
E92000001,England,nation,2021-11-25,8.1,442.0,1.2
E92000001,England,nation,2021-11-24,8.1,441.9,1.2
E92000001,England,nation,2021-11-23,8.1,439.3,1.3
E92000001,England,nation,2021-11-22,8.2,435.0,1.3
E92000001,England,nation,2021-11-21,8.4,434.3,1.3
E92000001,England,nation,2021-11-20,8.4,430.5,1.4
E92000001,England,nation,2021-11-19,8.5,426.3,1.4
E92000001,England,nation,2021-11-18,8.7,422.9,1.4
E92000001,England,nation,2021-11-17,8.8,417.1,1.4
E92000001,England,nation,2021-11-16,9.0,412.0,1.5
E92000001,England,nation,2021-11-15,9.2,405.3,1.5
E92000001,England,nation,2021-11-14,9.4,394.3,1.4
E92000001,England,nation,2021-11-13,9.5,387.1,1.5
E92000001,England,nation,2021-11-12,9.6,378.8,1.5
E92000001,England,nation,2021-11-11,9.5,366.9,1.6
E92000001,England,nation,2021-11-10,9.4,354.8,1.6
E92000001,England,nation,2021-11-09,9.4,343.9,1.6
E92000001,England,nation,2021-11-08,9.5,337.8,1.6
E92000001,England,nation,2021-11-07,9.6,340.4,1.6
E92000001,England,nation,2021-11-06,9.8,347.5,1.6
E92000001,England,nation,2021-11-05,9.9,357.4,1.6
E92000001,England,nation,2021-11-04,10.2,374.1,1.6
E92000001,England,nation,2021-11-03,10.5,388.7,1.7
E92000001,England,nation,2021-11-02,10.7,401.7,1.7
E92000001,England,nation,2021-11-01,10.8,409.0,1.7
E92000001,England,nation,2021-10-31,10.7,413.2,1.7
E92000001,England,nation,2021-10-30,10.7,414.2,1.6
E92000001,England,nation,2021-10-29,10.7,416.9,1.6
E92000001,England,nation,2021-10-28,10.5,417.8,1.6
E92000001,England,nation,2021-10-27,10.4,423.9,1.5
E92000001,England,nation,2021-10-26,10.3,436.9,1.5
E92000001,England,nation,2021-10-25,10.3,453.1,1.4
E92000001,England,nation,2021-10-24,10.3,469.2,1.4
E92000001,England,nation,2021-10-23,10.3,482.1,1.3
E92000001,England,nation,2021-10-22,10.3,485.4,1.3
E92000001,England,nation,2021-10-21,10.3,489.1,1.3
E92000001,England,nation,2021-10-20,10.2,490.3,1.3
E92000001,England,nation,2021-10-19,9.9,484.4,1.2
E92000001,England,nation,2021-10-18,9.7,477.9,1.2
E92000001,England,nation,2021-10-17,9.3,467.4,1.2
E92000001,England,nation,2021-10-16,8.9,457.0,1.1
E92000001,England,nation,2021-10-15,8.7,449.2,1.1
E92000001,England,nation,2021-10-14,8.4,437.4,1.1
E92000001,England,nation,2021-10-13,8.3,425.2,1.1
E92000001,England,nation,2021-10-12,8.0,411.4,1.0
E92000001,England,nation,2021-10-11,7.9,396.4,1.0
E92000001,England,nation,2021-10-10,7.8,384.9,1.0
E92000001,England,nation,2021-10-09,7.7,377.3,1.0
E92000001,England,nation,2021-10-08,7.6,368.2,1.0
E92000001,England,nation,2021-10-07,7.4,358.3,1.0
E92000001,England,nation,2021-10-06,7.3,348.9,1.0
E92000001,England,nation,2021-10-05,7.3,342.2,1.0
E92000001,England,nation,2021-10-04,7.2,337.6,1.0
E92000001,England,nation,2021-10-03,7.1,334.2,1.0
E92000001,England,nation,2021-10-02,7.1,333.6,1.0
E92000001,England,nation,2021-10-01,7.0,336.3,1.0
E92000001,England,nation,2021-09-30,7.1,339.0,1.0
E92000001,England,nation,2021-09-29,7.1,341.6,1.0
E92000001,England,nation,2021-09-28,7.0,341.7,1.1
E92000001,England,nation,2021-09-27,7.0,343.4,1.1
E92000001,England,nation,2021-09-26,7.0,339.1,1.1
E92000001,England,nation,2021-09-25,7.1,335.6,1.2
E92000001,England,nation,2021-09-24,7.2,331.3,1.2
E92000001,England,nation,2021-09-23,7.1,325.4,1.2
E92000001,England,nation,2021-09-22,7.3,314.8,1.3
E92000001,England,nation,2021-09-21,7.5,303.8,1.3
E92000001,England,nation,2021-09-20,7.7,290.0,1.3
E92000001,England,nation,2021-09-19,7.8,277.9,1.3
E92000001,England,nation,2021-09-18,8.0,266.0,1.3
E92000001,England,nation,2021-09-17,8.1,259.1,1.3
E92000001,England,nation,2021-09-16,8.4,256.6,1.3
E92000001,England,nation,2021-09-15,8.6,260.5,1.3
E92000001,England,nation,2021-09-14,9.0,266.0,1.3
E92000001,England,nation,2021-09-13,9.1,275.2,1.3
E92000001,England,nation,2021-09-12,9.4,288.8,1.4
E92000001,England,nation,2021-09-11,9.4,298.5,1.4
E92000001,England,nation,2021-09-10,9.6,309.7,1.5
E92000001,England,nation,2021-09-09,9.6,323.2,1.5
E92000001,England,nation,2021-09-08,9.6,333.9,1.4
E92000001,England,nation,2021-09-07,9.5,344.3,1.4
E92000001,England,nation,2021-09-06,9.5,354.0,1.4
E92000001,England,nation,2021-09-05,9.5,339.9,1.3
E92000001,England,nation,2021-09-04,9.5,332.4,1.3
E92000001,England,nation,2021-09-03,9.4,326.6,1.3
E92000001,England,nation,2021-09-02,9.5,318.9,1.2
E92000001,England,nation,2021-09-01,9.5,311.6,1.2
E92000001,England,nation,2021-08-31,9.5,305.1,1.2
E92000001,England,nation,2021-08-30,9.5,295.8,1.2
E92000001,England,nation,2021-08-29,9.6,305.1,1.2
E92000001,England,nation,2021-08-28,9.6,310.8,1.2
E92000001,England,nation,2021-08-27,9.7,315.1,1.2
E92000001,England,nation,2021-08-26,9.7,317.4,1.2
E92000001,England,nation,2021-08-25,9.8,321.8,1.2
E92000001,England,nation,2021-08-24,9.7,327.9,1.2
E92000001,England,nation,2021-08-23,9.7,332.8,1.2
E92000001,England,nation,2021-08-22,9.6,333.7,1.1
E92000001,England,nation,2021-08-21,9.6,331.7,1.1
E92000001,England,nation,2021-08-20,9.5,329.5,1.0
E92000001,England,nation,2021-08-19,9.4,328.6,1.0
E92000001,England,nation,2021-08-18,9.3,326.2,1.0
E92000001,England,nation,2021-08-17,9.2,322.3,1.0
E92000001,England,nation,2021-08-16,9.1,316.4,1.0
E92000001,England,nation,2021-08-15,8.9,312.0,1.0
E92000001,England,nation,2021-08-14,8.8,310.0,1.0
E92000001,England,nation,2021-08-13,8.7,307.5,1.0
E92000001,England,nation,2021-08-12,8.6,307.2,0.9
E92000001,England,nation,2021-08-11,8.5,307.9,0.9
E92000001,England,nation,2021-08-10,8.5,307.5,0.9
E92000001,England,nation,2021-08-09,8.4,306.5,0.9
E92000001,England,nation,2021-08-08,8.4,303.6,0.9
E92000001,England,nation,2021-08-07,8.4,300.9,0.9
E92000001,England,nation,2021-08-06,8.3,298.3,0.9
E92000001,England,nation,2021-08-05,8.3,293.5,0.9
E92000001,England,nation,2021-08-04,8.4,288.7,0.9
E92000001,England,nation,2021-08-03,8.4,285.3,0.9
E92000001,England,nation,2021-08-02,8.6,283.6,0.9
E92000001,England,nation,2021-08-01,8.9,283.5,0.9
E92000001,England,nation,2021-07-31,9.2,285.3,0.9
E92000001,England,nation,2021-07-30,9.5,288.5,0.9
E92000001,England,nation,2021-07-29,9.6,292.8,0.8
E92000001,England,nation,2021-07-28,9.7,297.0,0.8
E92000001,England,nation,2021-07-27,9.8,305.3,0.8
E92000001,England,nation,2021-07-26,9.8,322.5,0.7
E92000001,England,nation,2021-07-25,9.7,351.7,0.7
E92000001,England,nation,2021-07-24,9.4,375.1,0.7
E92000001,England,nation,2021-07-23,9.2,401.3,0.7
E92000001,England,nation,2021-07-22,9.0,447.5,0.6
E92000001,England,nation,2021-07-21,8.7,499.1,0.6
E92000001,England,nation,2021-07-20,8.4,531.4,0.6
E92000001,England,nation,2021-07-19,8.1,544.1,0.6
E92000001,England,nation,2021-07-18,7.8,539.1,0.5
E92000001,England,nation,2021-07-17,7.5,529.3,0.4
E92000001,England,nation,2021-07-16,7.2,512.1,0.4
E92000001,England,nation,2021-07-15,6.9,473.8,0.4
E92000001,England,nation,2021-07-14,6.6,425.9,0.4
E92000001,England,nation,2021-07-13,6.3,398.0,0.4
E92000001,England,nation,2021-07-12,6.0,377.9,0.3
E92000001,England,nation,2021-07-11,5.7,360.0,0.3
E92000001,England,nation,2021-07-10,5.5,350.1,0.3
E92000001,England,nation,2021-07-09,5.3,341.8,0.3
E92000001,England,nation,2021-07-08,5.0,329.9,0.3
E92000001,England,nation,2021-07-07,4.7,319.9,0.3
E92000001,England,nation,2021-07-06,4.5,302.0,0.3
E92000001,England,nation,2021-07-05,4.1,287.3,0.3
E92000001,England,nation,2021-07-04,3.8,275.6,0.2
E92000001,England,nation,2021-07-03,3.6,264.5,0.2
E92000001,England,nation,2021-07-02,3.4,252.1,0.2
E92000001,England,nation,2021-07-01,3.2,239.3,0.2
E92000001,England,nation,2021-06-30,3.0,223.5,0.2
E92000001,England,nation,2021-06-29,2.8,207.6,0.2
E92000001,England,nation,2021-06-28,2.6,190.9,0.2
E92000001,England,nation,2021-06-27,2.5,172.4,0.2
E92000001,England,nation,2021-06-26,2.4,159.9,0.2
E92000001,England,nation,2021-06-25,2.3,148.9,0.2
E92000001,England,nation,2021-06-24,2.3,138.3,0.2
E92000001,England,nation,2021-06-23,2.3,128.5,0.1
E92000001,England,nation,2021-06-22,2.3,119.2,0.2
E92000001,England,nation,2021-06-21,2.3,111.6,0.2
E92000001,England,nation,2021-06-20,2.3,105.0,0.2
E92000001,England,nation,2021-06-19,2.3,101.3,0.1
E92000001,England,nation,2021-06-18,2.2,98.3,0.1
E92000001,England,nation,2021-06-17,2.2,94.5,0.1
E92000001,England,nation,2021-06-16,2.1,89.7,0.1
E92000001,England,nation,2021-06-15,2.1,85.4,0.1
E92000001,England,nation,2021-06-14,2.0,81.1,0.1
E92000001,England,nation,2021-06-13,1.9,77.4,0.1
E92000001,England,nation,2021-06-12,1.8,75.1,0.1
E92000001,England,nation,2021-06-11,1.7,72.6,0.1
E92000001,England,nation,2021-06-10,1.6,69.8,0.1
E92000001,England,nation,2021-06-09,1.5,67.1,0.1
E92000001,England,nation,2021-06-08,1.4,63.9,0.1
E92000001,England,nation,2021-06-07,1.3,60.2,0.1
E92000001,England,nation,2021-06-06,1.3,53.9,0.1
E92000001,England,nation,2021-06-05,1.2,50.3,0.1
E92000001,England,nation,2021-06-04,1.2,47.7,0.1
E92000001,England,nation,2021-06-03,1.1,44.3,0.1
E92000001,England,nation,2021-06-02,1.1,40.7,0.1
E92000001,England,nation,2021-06-01,1.1,37.5,0.1
E92000001,England,nation,2021-05-31,1.1,34.5,0.1
E92000001,England,nation,2021-05-30,1.1,33.8,0.1
E92000001,England,nation,2021-05-29,1.1,32.5,0.1
E92000001,England,nation,2021-05-28,1.1,31.0,0.1
E92000001,England,nation,2021-05-27,1.1,29.2,0.1
E92000001,England,nation,2021-05-26,1.1,27.4,0.1
